geoRegion,ageRange,sex,pop
FL,70 - 79,male,1668
FL,70 - 79,female,1778
FL,80+,male,624
FL,80+,female,985
CH,0 - 9,male,450677
CH,0 - 9,female,426126
CH,10 - 19,male,436790
CH,10 - 19,female,412708
CH,20 - 29,male,531927
CH,20 - 29,female,506207
CH,30 - 39,male,628274
CH,30 - 39,female,614956
CH,40 - 49,male,604325
CH,40 - 49,female,597152
CH,50 - 59,male,654368
CH,50 - 59,female,644741
CH,60 - 69,male,475971
CH,60 - 69,female,491322
CH,70 - 79,male,343955
CH,70 - 79,female,392512
CH,80+,male,176312
CH,80+,female,281977
CHFL,0 - 9,male,452658
CHFL,0 - 9,female,427929
CHFL,10 - 19,male,438812
CHFL,10 - 19,female,414563
CHFL,20 - 29,male,534180
CHFL,20 - 29,female,508437
CHFL,30 - 39,male,630777
CHFL,30 - 39,female,617463
CHFL,40 - 49,male,607008
CHFL,40 - 49,female,599897
CHFL,50 - 59,male,657562
CHFL,50 - 59,female,647981
CHFL,60 - 69,male,478411
CHFL,60 - 69,female,493866
CHFL,70 - 79,male,345623
CHFL,70 - 79,female,394290
CHFL,80+,male,176936
CHFL,80+,female,282962
